Hospital Name,City,State,Address,Phone,Specialty,Type,Rating
AIIMS New Delhi,Delhi,Delhi,"Ansari Nagar, New Delhi – 110029",011-26588500,Nephrology & Kidney Transplant,Government,5.0
Safdarjung Hospital,Delhi,Delhi,"Ring Road, New Delhi – 110029",011-24616499,Nephrology,Government,4.2
Sir Ganga Ram Hospital,Delhi,Delhi,"Rajinder Nagar, New Delhi – 110060",011-42251300,Nephrology & Urology,Private,4.6
BL Kapur Memorial Hospital,Delhi,Delhi,"Pusa Road, New Delhi – 110005",011-30403040,Kidney Transplant,Private,4.5
Fortis Escorts Heart Institute,Delhi,Delhi,"Okhla Road, New Delhi – 110025",011-47135000,Nephrology,Private,4.4
Kokilaben Dhirubhai Ambani Hospital,Mumbai,Maharashtra,"Four Bungalows, Andheri West, Mumbai – 400053",022-42696969,Nephrology & Urology,Private,4.7
Lilavati Hospital,Mumbai,Maharashtra,"A-791, Bandra Reclamation, Mumbai – 400050",022-26751000,Nephrology,Private,4.5
Tata Memorial Hospital,Mumbai,Maharashtra,"Dr Ernest Borges Marg, Parel, Mumbai – 400012",022-24177000,Kidney Cancer & Nephrology,Government,4.8
Hinduja Hospital,Mumbai,Maharashtra,"Veer Savarkar Marg, Mahim, Mumbai – 400016",022-24452222,Nephrology,Private,4.6
KEM Hospital,Mumbai,Maharashtra,"Acharya Donde Marg, Parel, Mumbai – 400012",022-24136051,Nephrology,Government,4.3
Manipal Hospital,Bangalore,Karnataka,"98 HAL Airport Road, Bengaluru – 560017",080-25024444,Nephrology,Private,4.6
Narayana Health City,Bangalore,Karnataka,"258/A Bommasandra Industrial Area, Bengaluru – 560099",080-71222222,Kidney Transplant,Private,4.7
Apollo Hospital,Bangalore,Karnataka,"154/11 Bannerghatta Road, Bengaluru – 560076",080-26304050,Nephrology,Private,4.5
St. John's Medical College Hospital,Bangalore,Karnataka,"Sarjapur Road, Bengaluru – 560034",080-22065000,Nephrology,Government,4.4
Victoria Hospital,Bangalore,Karnataka,"KR Market, Bengaluru – 560002",080-26701150,Nephrology,Government,4.0
Apollo Hospitals,Chennai,Tamil Nadu,"21 Greams Lane, Chennai – 600006",044-28290200,Nephrology & Transplant,Private,4.7
Fortis Malar Hospital,Chennai,Tamil Nadu,"52 1st Main Road, Gandhi Nagar, Chennai – 600020",044-42896789,Nephrology,Private,4.5
Rajiv Gandhi Government General Hospital,Chennai,Tamil Nadu,"Park Town, Chennai – 600003",044-25305000,Nephrology,Government,4.1
Sri Ramachandra Medical Centre,Chennai,Tamil Nadu,"1 Ramachandra Nagar, Porur, Chennai – 600116",044-45928500,Nephrology,Private,4.6
Stanley Medical College Hospital,Chennai,Tamil Nadu,"Old Jail Road, Chennai – 600001",044-25281111,Nephrology,Government,4.0
Hyderabad Institute of Nephrology,Hyderabad,Telangana,"Road No. 1, Banjara Hills, Hyderabad – 500034",040-23540100,Nephrology Superspecialty,Private,4.8
NIMS Hospital,Hyderabad,Telangana,"Punjagutta, Hyderabad – 500082",040-23489000,Nephrology,Government,4.2
Apollo Hospitals,Hyderabad,Telangana,"Jubilee Hills, Hyderabad – 500033",040-23607777,Nephrology,Private,4.6
Yashoda Hospital,Hyderabad,Telangana,"Alexander Road, Secunderabad – 500003",040-67567890,Kidney Transplant,Private,4.5
Care Hospitals,Hyderabad,Telangana,"Road No. 1, Banjara Hills, Hyderabad – 500034",040-30418000,Nephrology,Private,4.4
Medanta Hospital,Gurugram,Haryana,"CH Baktawar Singh Road, Sector 38, Gurugram – 122001",0124-4141414,Nephrology & Transplant,Private,4.7
Fortis Memorial Research Institute,Gurugram,Haryana,"Sector 44, Gurugram – 122002",0124-4962200,Kidney Transplant,Private,4.6
Artemis Hospital,Gurugram,Haryana,"Sector 51, Gurugram – 122001",0124-4511111,Nephrology,Private,4.4
Max Hospital,Gurugram,Haryana,"W3 Sector 1 Press Enclave Road, Saket, Gurugram – 110017",011-26515050,Nephrology,Private,4.5
Pushpanjali Hospital,Gurugram,Haryana,"W 86 A Pushpanjali Vihar, Gurugram – 122001",0124-2572066,Nephrology,Private,4.2
SMS Hospital,Jaipur,Rajasthan,"JLN Marg, Jaipur – 302004",0141-2518330,Nephrology,Government,4.3
Fortis Escorts Hospital,Jaipur,Rajasthan,"Jawahar Lal Nehru Marg, Jaipur – 302017",0141-2547000,Nephrology & Transplant,Private,4.5
